id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
4278423;CASA;150000;2023-11-01;BIANCHINI PROPIEDADES;562.0;200.0;3.0;1.0;2.0;EL TALAR;MENDIOLAZA;-31.252152;-64.258271;https://clasificados.lavoz.com.ar/avisos/casas/4278423/increible-casa-en-mediolaza-barrio-talar-recibo-menor
4208670;CASA;98000;2023-11-01;GRUPO NORTE - CPI 5832;141.0;150.0;3.0;2.0;2.0;CUESTA COLORADA;LA CALERA;-31.351787;-64.318589;https://clasificados.lavoz.com.ar/avisos/casas/4208670/venta-cuesta-colorada-housing-3-dormcon-piscina-cochera-para-2-autos
3971874;DEPARTAMENTO;55000;2023-11-01;MARCO MUSSO INMOBILIARIA.;1.0;;1.0;1.0;;ALTO ALBERDI;CORDOBA;-31.406628;-64.225006;https://clasificados.lavoz.com.ar/avisos/departamentos/3971874/entrega-diciembre-2021-depto-1-dorm-cdos-balcones-excelente-calidad.htm
4133962;TERRENO;10900;2023-11-01;MARCO MUSSO INMOBILIARIA.;450.0;;;;;;ANISACATE;-31.693343;-64.417563;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4133962/villa-montenegro-escritura-amplio-loteo-consulte-disponibilidades.html
5131196;DEPARTAMENTO;139000;2023-11-01;MA. LUZ LAZCANO AGENTE INMOBILIARIO;67.0;;2.0;2.0;;COFICO;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5131196/venta-departamento-2-dorm-complejo-gni-cofico
5130734;CASA;220000;2023-11-01;EDILIO MARASCA;240.0;200.0;3.0;4.0;2.0;CLAROS DEL BOSQUE;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/casas/5130734/claros-del-bosque-villague-si-buscas-calidad-mejor
3902237;DEPARTAMENTO;39000;2023-11-01;EV BIENES RAICES;35.0;;1.0;1.0;;CENTRO;CORDOBA;-31.4141;-64.186256;https://clasificados.lavoz.com.ar/avisos/departamentos/3902237/venta-pleno-centro-1-dorm-av-gral-paz-y-9-de-julio.html
4247619;TERRENO;29000;2023-11-01;CASAPUEBLO NEGOCIOS INMOBILIARIOS;1150.0;;;;;;POTRERO DE GARAY;;;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4247619/puerto-del-aguila-vista-al-lago-y-sierras-grandes
4133741;TERRENO;18000;2023-11-01;CASAPUEBLO NEGOCIOS INMOBILIARIOS;2500.0;;;;;;VILLA CIUDAD DE AMERICA;-31.783951;-64.517851;https://clasificados.lavoz.com.ar/avisos/terrenos-lotes/4133741/villa-ciudad-de-america-lote-de-2500m%C2%B2-con-agua-luz-y-alumbrado-escrit
5131646;DEPARTAMENTO;69000;2023-11-01;TERRANA INMUEBLES;45.0;;1.0;;;CENTRO;CORDOBA;;;https://clasificados.lavoz.com.ar/avisos/departamentos/5131646/especial-oportunidad-2-deptos-cochera-excelente-ubicacion
