tipoPropiedad,precioUSD,fechaUltimaActualizacion,terrenoTotal,terrenoEdificado,cantDormitorios,cantBanos,cantCochera,barrio,coordX,coordY,vendedor,comisariaCercana,transporteCercano,saludCercana,distanciaCentro,pm2,valComisaria,valTransporte,valSalud,valoracionServicios,geometry,barrioName
1,135000,2023-11-15,135.0,147.0,3.0,3.0,2.0,190,-31.454826,-64.246606,2,0.9985369283649383,0.4309292940466495,0.648964257022879,6.707203700503046,918.3673469387755,0,0,0,0,POINT (-64.246606 -31.454826),MIRADORES DE MANANTIALES
1,99000,2023-11-15,125.0,115.0,3.0,2.0,1.0,190,-31.457486,-64.242377,2,1.1165755130146364,0.1735694303896231,0.9790764648818756,6.56641556322334,860.8695652173913,0,0,0,0,POINT (-64.242377 -31.457486),MIRADORES DE MANANTIALES
1,150000,2023-11-15,150.0,150.0,3.0,3.0,1.0,162,-31.456281,-64.238003,2,0.9919706204521216,0.1116872037811097,1.0671072309135483,6.162445231136961,1000.0,0,0,0,0,POINT (-64.238003 -31.456281),LOMAS DE MANANTIALES
1,135000,2023-10-30,146.0,131.0,3.0,2.0,2.0,79,-31.457016,-64.2381058,2,1.0697375266068685,0.0555588669109072,1.1236976024746874,6.223423124279348,1030.5343511450383,0,0,0,0,POINT (-64.2381058 -31.457016),CUESTAS DE MANANTIALES
1,285000,2023-10-29,360.0,250.0,3.0,4.0,2.0,15,-31.4561775,-64.2353688,1,1.066082377527446,0.254828473764543,1.2389955349245776,5.967627222903786,1140.0,0,0,0,0,POINT (-64.2353688 -31.4561775),ALTOS DE MANANTIALES
1,160000,2023-11-13,182.0,168.0,3.0,3.0,2.0,15,-31.45832,-64.2358589,2,1.267372928912252,0.3002136249276627,1.0930689590876037,6.16387162018266,952.3809523809524,0,0,0,0,POINT (-64.2358589 -31.45832),ALTOS DE MANANTIALES
1,119000,2023-11-13,125.0,120.0,3.0,3.0,1.0,190,-31.4543842,-64.244482,2,0.8500999408635345,0.4963528041830899,0.5971130905946151,6.514607333032347,991.6666666666666,0,0,0,0,POINT (-64.244482 -31.4543842),MIRADORES DE MANANTIALES
1,330000,2023-09-26,365.0,338.0,3.0,3.0,2.0,15,-31.460894,-64.234787,0,1.5711088572245506,0.2138622965471582,0.7900101256785926,6.293631588584495,976.3313609467456,0,0,0,0,POINT (-64.234787 -31.460894),ALTOS DE MANANTIALES
1,205000,2023-09-26,300.0,174.0,3.0,3.0,2.0,190,-31.453399,-64.240087,0,0.6463245988153238,0.2845642173862067,0.6988058533552374,6.114371942137103,1178.16091954023,0,0,0,0,POINT (-64.240087 -31.453399),MIRADORES DE MANANTIALES
1,135000,2023-09-26,125.0,124.0,3.0,2.0,1.0,180,-31.451816,-64.240174,0,0.47011313322242,0.4196004015268871,0.5846265638268897,6.0161298350026815,1088.7096774193549,0,0,0,0,POINT (-64.240174 -31.451816),MANANTIALES
1,210000,2023-09-28,250.0,210.0,3.0,2.0,1.0,190,-31.4524743,-64.242717,0,0.5868288689753455,0.4392970980074293,0.4573996921695903,6.255028599801912,1000.0,0,0,0,0,POINT (-64.242717 -31.4524743),MIRADORES DE MANANTIALES
1,260000,2023-09-26,360.0,190.0,2.0,1.0,2.0,15,-31.4611722,-64.23461600000002,0,1.6057073401552542,0.1901245174917007,0.7559636926024322,6.30476434354708,1368.421052631579,0,0,0,0,POINT (-64.23461600000002 -31.4611722),ALTOS DE MANANTIALES
1,239900,2023-09-27,250.0,200.0,3.0,2.0,2.0,162,-31.458568465748,-64.238834433562,0,1.2292437110638963,0.1638057258702573,1.1791608938771383,6.389767360890249,1199.5,0,0,0,0,POINT (-64.238834433562 -31.458568465748),LOMAS DE MANANTIALES
2,130000,2023-10-24,100.0,65.0,2.0,1.0,1.0,51,-31.4567096,-64.2371774,2,1.0581452503670516,0.1492950043873901,1.1549405645076225,6.1348399873713575,2000.0,0,0,0,0,POINT (-64.2371774 -31.4567096),CASONAS DE MANANTIALES
1,159000,2023-09-08,183.0,163.0,3.0,3.0,2.0,74,-31.452967,-64.235813,0,0.7376475000166208,0.2797670972928772,1.0100006019163752,5.766334293620751,975.4601226993865,0,0,0,0,POINT (-64.235813 -31.452967),COSTAS DE MANANTIALES
