nombre,descripcion,Latitud,Longitud
AL09 - Alberdi (Parada Terminal),AV COLON Y CNEL PEDRO ZANNI  Entorno: 25 mts. Curso:292AL09,-31.404888,-64.21267
AL05 - Alberdi (Parada Terminal),Av Colon 2144  Entorno: 25 mts. Curso:290AL05\n LINEA B: 274\n LINEA B1: 290\n LINEA 80: 278\n LINEA 80: 282\n LINEA 81: 280,-31.40545,-64.210908
AL24 - Alberdi (Parada),Av. Santa Fe 340-347  Entorno: 15 mts. Curso:200AL24,-31.406833,-64.200135
AL07 - Alberdi (Parada Terminal),Av Colon 1582-1584  Entorno: 15 mts. Curso:288AL07\n LINEA 82: 288\n LINEA 80: 280\n LINEA 81: 280\n LINEA 82: 280,-31.407385,-64.20437
AC25 - Alta Cordoba (Parada),Mariano Fragueiro 2773  Entorno: 15 mts. Curso:180AC25\n LINEA 32: 180\n LINEA 36: 180,-31.383153,-64.183811
AC18 - Alta Cordoba (Parada),N Rodriguez Pena 1928  Entorno: 15 mts. Curso:20AC18\n LINEA 32: 20,-31.392096,-64.188631
AC57 - Alta Cordoba (Parada Terminal),GONGORA 954  Entorno: 15 mts. Curso:270AC57\n LINEA 35: 270,-31.380518,-64.187483
AC68 - Alta Cordoba (Parada),GONGORA 337  Entorno: 10 mts. Curso:90AC68,-31.380519,-64.178788
AC75 - Alta Cordoba (Parada),TUCUMAN 2141  Entorno: 15 mts. Curso:180AC75,-31.392051,-64.178371
AC07 - Alta Cordoba (Parada),Urquiza 2368  Entorno: 15 mts. Curso:0AC07\n LINEA A: 0\n LINEA A1: 0,-31.387936,-64.185193
AC78 - Alta Cordoba (Parada),Luis de Gongora 957  Entorno: 20 mts.AC78,-31.380594,-64.187336
AC26 - Alta Cordoba (Parada Terminal),Mariano Fragueiro 3021  Entorno: 15 mts. Curso:180AC26\n LINEA 32: 180\n LINEA 36: 180,-31.380098,-64.183823
AC17 - Alta Cordoba (Parada),N Rodriguez Pena 1680  Entorno: 15 mts. Curso:22AC17\n LINEA 32: 22,-31.394705,-64.18975
AC44 - Alta Cordoba (Parada),TUCUMAN 2045  Entorno: 15 mts. Curso:180AC44,-31.393456,-64.17837
AC70 - Alta Cordoba (Parada),Francisco de Quevedo 900  Entorno: 10 mts. Curso:90AC70\n LINEA 35: 90,-31.38405,-64.186735
AC42 - Alta Cordoba (Parada Terminal),AV. JUAN B. JUSTO 3453-3468  Entorno: 15 mts. Curso:180AC42,-31.38492,-64.175991
AC62 - Alta Cordoba (Parada),AV. ROQUE SAENZ PEÑA 1211  Entorno: 15 mts.AC62,-31.402468,-64.183135
AC53 - Alta Cordoba (Parada),Baigorri653  Entorno: 15 mts.AC53,-31.393323,-64.183298
AC14 - Alta Cordoba (Parada Terminal),Lavalleja 3051  Entorno: 20 mts. Curso:0AC14,-31.379931,-64.182496
AC52 - Alta Cordoba (Parada),AV. JUAN B. JUSTO 3917  Entorno: 15 mts. Curso:180AC52,-31.37916,-64.17604
AC65 - Alta Cordoba (Parada),SUIPACHA 229  Entorno: 15 mts. Curso:106AC65,-31.400794,-64.172751
AC28 - Alta Cordoba (Parada),Juan Antonio Lavalleja 2390  Entorno: 15 mts. Curso:0AC28\n LINEA 32: 358\n LINEA 36: 358\n LINEA 35: 358,-31.387723,-64.182486
AC20 - Alta Cordoba (Parada),Jose Baigorri 811  Entorno: 15 mts.AC20,-31.391901,-64.186003
AC58 - Alta Cordoba (Parada Terminal),GONGORA 1180  Entorno: 15 mts. Curso:270AC58,-31.380518,-64.189835
AC76 - Alta Cordoba (Parada Terminal),GONGORA 550-565  Entorno: 15 mts. Curso:270AC76,-31.38051,-64.181873
AC31 - Alta Cordoba (Parada Terminal),Juan Antonio Lavalleja 3090  Entorno: 15 mts. Curso:0AC31\n LINEA 32: 0\n LINEA 36: 0,-31.37943,-64.182486
AC45 - Alta Cordoba (Parada),TUCUMAN 2141  Entorno: 15 mts. Curso:0AC45,-31.392053,-64.178373
AC37 - Alta Cordoba (Parada),AV. JUAN B. JUSTO 2260  Entorno: 15 mts. Curso:0AC37,-31.400283,-64.175835
